knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K00036	348.53	full	trim	0.985986	5567	4387	6644	473	2.51	0.590	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K00037	714.00	full	all	1.000000	12	12	367	323	0.41	0.587	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase [EC:1.1.1.50 1.1.1.357 1.1.1.225]
K00038	292.33	domain	all	0.923862	569	484	496	251	1.70	0.590	3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]
K00039	271.90	domain	all	0.994100	255	171	369	242	1.08	0.589	ribitol 2-dehydrogenase [EC:1.1.1.56]
K00040	581.50	full	trim	0.724159	1440	1121	1186	487	2.67	0.590	fructuronate reductase [EC:1.1.1.57]
K00041	282.67	full	all	0.992168	791	641	1156	476	1.93	0.589	tagaturonate reductase [EC:1.1.1.58]
K00042	356.10	domain	trim	0.819590	952	595	684	292	2.41	0.590	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]
K00043	439.07	full	all	0.986179	225	186	577	375	1.76	0.590	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
K00044	360.30	domain	all	0.953439	113	110	726	301	1.18	0.590	17beta-estradiol 17-dehydrogenase [EC:1.1.1.62]
K00045	599.17	full	trim	0.950463	592	520	1088	493	1.46	0.590	mannitol 2-dehydrogenase [EC:1.1.1.67]
K00046	292.80	domain	all	0.793696	1620	1280	886	256	2.82	0.590	gluconate 5-dehydrogenase [EC:1.1.1.69]
K00048	564.00	full	all	0.985557	405	247	437	383	0.96	0.590	lactaldehyde reductase [EC:1.1.1.77]
K00049	404.10	domain	all	0.874673	373	369	1157	327	1.83	0.590	glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K00050	395.03	domain	all	0.979798	79	51	364	316	0.82	0.589	hydroxypyruvate reductase [EC:1.1.1.81]
K00051	603.40	full	all	0.964979	138	133	639	440	0.68	0.592	malate dehydrogenase (NADP+) [EC:1.1.1.82]
K00052	372.17	full	trim	0.920177	4827	3908	2160	353	2.72	0.590	3-isopropylmalate dehydrogenase [EC:1.1.1.85]
K00053	61.17	full	all	0.998882	4852	3582	1758	341	2.74	0.590	ketol-acid reductoisomerase [EC:1.1.1.86]
K00054	133.73	domain	trim	0.983051	890	693	1405	427	1.68	0.589	hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]
K00055	379.57	domain	all	0.983790	539	468	556	368	1.50	0.591	aryl-alcohol dehydrogenase [EC:1.1.1.90]
K00057	249.77	domain	trim	0.935312	4995	3667	1737	328	3.49	0.590	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]
K00058	308.67	full	all	0.715318	7726	6311	5503	383	4.94	0.590	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K00059	241.07	full	all	0.475459	18978	15368	5577	242	6.51	0.590	3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]
K00060	318.57	domain	all	0.990170	1412	976	622	343	1.73	0.589	threonine 3-dehydrogenase [EC:1.1.1.103]
K00061	492.87	domain	all	0.938945	120	114	864	333	0.79	0.591	11-cis-retinol dehydrogenase [EC:1.1.1.315]
K00062	423.53	full	all	1.000000	29	29	417	335	0.85	0.588	D-arabinose 1-dehydrogenase [EC:1.1.1.116]
K00063	465.90	domain	all	1.000000	26	25	369	327	0.74	0.591	D-arabinose 1-dehydrogenase [EC:1.1.1.117]
K00064	238.83	full	trim	0.971275	881	778	950	330	3.10	0.590	D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K00065	308.93	domain	all	0.906867	1680	1253	778	255	2.24	0.590	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]
K00066	485.23	full	all	0.986918	234	194	651	437	1.38	0.590	GDP-mannose 6-dehydrogenase [EC:1.1.1.132]
K00067	119.17	domain	all	0.846812	4266	3661	3319	275	6.23	0.590	dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
K00068	273.13	domain	all	0.993740	631	323	555	269	1.51	0.590	sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]
K00069	222.73	domain	trim	0.915600	490	473	1666	256	3.17	0.590	15-hydroxyprostaglandin dehydrogenase (NAD) [EC:1.1.1.141]
K00070	380.53	full	trim	0.943149	186	178	863	375	1.66	0.589	3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
K00071	453.87	domain	all	0.966667	129	124	1167	389	0.90	0.589	corticosteroid 11-beta-dehydrogenase isozyme 2 [EC:1.1.1.-]
K00072	166.67	full	all	0.981923	286	279	1430	278	3.16	0.590	sepiapterin reductase [EC:1.1.1.153]
K00073	356.87	full	all	0.980482	275	182	443	351	1.71	0.590	ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]
K00074	308.90	domain	trim	0.772046	4703	4021	4385	291	4.15	0.590	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K00075	58.70	domain	all	0.997777	4893	3817	3004	297	3.81	0.590	UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]
K00076	267.63	domain	all	0.976505	594	345	422	257	2.07	0.590	7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]
K00077	76.83	domain	all	0.980668	5213	4221	4794	292	9.69	0.590	2-dehydropantoate 2-reductase [EC:1.1.1.169]
K00078	244.53	full	all	0.977848	313	299	1929	334	2.08	0.589	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]
K00079	273.23	domain	trim	0.794433	483	471	1616	275	2.34	0.590	carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
K00081	431.30	domain	all	0.933250	33	32	526	244	0.74	0.592	carbonyl reductase 2 [EC:1.1.1.184]
K00082	212.50	full	trim	0.523564	109	94	462	228	3.86	0.590	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K00083	594.83	domain	trim	0.177633	142	132	702	358	0.88	0.591	cinnamyl-alcohol dehydrogenase [EC:1.1.1.195]
K00084	516.70	domain	all	0.913889	54	51	384	278	1.04	0.589	carbonyl reductase 3 [EC:1.1.1.184]
K00085	643.93	full	all	0.547009	6	6	310	310	0.48	0.589	aldose-6-phosphate reductase (NADPH2) [EC:1.1.1.200]
K00086	587.47	full	all	0.854827	111	75	457	384	1.29	0.591	1,3-propanediol dehydrogenase [EC:1.1.1.202]
K00087	882.97	full	trim	0.894011	193	131	1216	756	2.30	0.590	xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
K00088	269.37	full	all	0.935614	6755	5113	5553	500	2.20	0.590	IMP dehydrogenase [EC:1.1.1.205]
K00089	-	-	-	-	2	2	323	323	0.50	0.586	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K00090	432.87	domain	trim	0.821043	1103	767	472	325	1.38	0.589	glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]
K00091	235.43	domain	all	0.810727	968	820	1238	331	4.72	0.590	dihydroflavonol-4-reductase [EC:1.1.1.219]
K00093	-	-	-	-	2	2	382	382	0.41	0.590	methanol dehydrogenase [EC:1.1.1.244]
K00094	476.03	full	all	0.952355	189	88	400	347	1.06	0.590	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]
K00095	-	-	-	-	1	1	365	365	0.38	0.589	mannitol dehydrogenase [EC:1.1.1.255]
K00096	162.60	full	all	0.995305	751	643	1254	395	4.68	0.590	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]
K00097	375.83	domain	all	0.765024	2761	2276	2139	327	2.45	0.590	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K00098	361.70	full	all	0.974756	617	495	599	341	1.54	0.590	L-idonate 5-dehydrogenase [EC:1.1.1.264]
K00099	69.50	full	all	1.000000	4188	3331	1757	381	1.79	0.590	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]
K00100	530.60	full	trim	0.767582	104	83	486	388	1.43	0.590	butanol dehydrogenase [EC:1.1.1.-]
K00101	399.63	domain	trim	0.524145	2733	2132	3410	432	2.79	0.590	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K00102	494.10	full	all	0.933511	1604	1432	5809	505	2.66	0.590	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]
K00103	346.70	full	all	0.890745	593	567	2612	465	4.78	0.590	L-gulonolactone oxidase [EC:1.1.3.8]
K00104	443.90	full	all	0.854732	2846	2393	3811	473	6.21	0.590	glycolate oxidase [EC:1.1.3.15]
K00105	581.20	domain	all	0.934050	201	150	993	609	1.15	0.590	alpha-glycerophosphate oxidase [EC:1.1.3.21]
K00106	1444.43	full	all	0.674629	788	780	8778	1225	2.57	0.590	xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
K00107	530.00	domain	all	0.988886	91	91	952	508	1.20	0.591	D-arabinono-1,4-lactone oxidase [EC:1.1.3.37]
K00108	400.67	domain	all	0.848375	3291	2814	5189	517	3.66	0.590	choline dehydrogenase [EC:1.1.99.1]
K00109	526.97	full	all	0.943707	231	226	899	438	1.34	0.590	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
K00111	146.40	full	all	0.923579	5573	4560	6269	519	5.57	0.590	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]
K00112	126.67	full	all	0.993023	608	427	906	415	3.62	0.590	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]
K00113	290.47	full	all	0.988847	620	410	857	411	1.99	0.590	glycerol-3-phosphate dehydrogenase subunit C [EC:1.1.5.3]
K00114	669.70	full	all	0.892099	238	192	1265	578	1.47	0.590	alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]
K00115	781.00	full	trim	0.838124	165	161	1466	608	1.46	0.590	glucose 1-dehydrogenase (FAD, quinone) [EC:1.1.5.9]
K00116	149.33	full	all	0.996166	2072	1568	1163	493	2.23	0.590	malate dehydrogenase (quinone) [EC:1.1.5.4]
K00117	794.10	full	all	0.743769	1185	949	3286	638	3.46	0.590	quinoprotein glucose dehydrogenase [EC:1.1.5.2]
K00118	336.97	full	all	0.964426	81	60	706	365	2.17	0.591	glucose-fructose oxidoreductase [EC:1.1.99.28]
K00119	552.37	domain	all	0.776709	248	185	473	371	0.90	0.590	alcohol dehydrogenase (nicotinoprotein) [EC:1.1.99.36]
K00120	415.50	full	all	1.000000	56	25	815	366	0.75	0.588	F420-dependent hydroxymycolic acid dehydrogenase [EC:1.1.98.-]
K00121	562.10	domain	all	0.742611	4057	3274	4386	376	2.33	0.590	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K00122	199.63	domain	all	0.972277	575	480	1784	370	2.77	0.590	formate dehydrogenase [EC:1.17.1.9]
K00123	815.80	full	all	0.606628	3908	3082	5280	773	5.42	0.590	formate dehydrogenase major subunit [EC:1.17.1.9]
K00124	148.60	domain	trim	0.669500	2256	1679	1886	270	3.42	0.590	formate dehydrogenase iron-sulfur subunit
K00125	252.60	full	all	1.000000	123	118	491	398	1.96	0.590	formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]
K00126	46.40	full	trim	0.996625	547	440	267	81	3.58	0.700	formate dehydrogenase subunit delta [EC:1.17.1.9]
K00127	69.67	full	trim	0.725699	1994	1356	1022	211	6.65	0.590	formate dehydrogenase subunit gamma
K00128	537.60	full	all	0.249051	8104	7015	7421	457	5.68	0.590	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K00129	643.70	full	all	0.413031	621	592	3637	460	2.59	0.590	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]
K00130	657.20	domain	all	0.761979	1979	1581	1349	487	1.81	0.590	betaine-aldehyde dehydrogenase [EC:1.2.1.8]
K00131	522.90	domain	all	0.964342	758	607	832	490	2.14	0.590	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
K00132	700.30	full	all	1.000000	66	57	657	515	0.74	0.589	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]
K00133	196.67	full	all	0.994835	5675	4378	2112	333	3.27	0.590	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]
K00134	54.47	full	all	0.827185	8709	6616	5326	333	3.39	0.590	glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
K00135	537.70	domain	trim	0.696146	6853	5722	2723	484	3.36	0.590	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K00137	669.83	domain	all	0.971472	608	439	775	475	0.87	0.589	aminobutyraldehyde dehydrogenase [EC:1.2.1.19]
K00138	713.43	domain	all	0.979915	2127	1615	839	505	1.13	0.591	aldehyde dehydrogenase [EC:1.2.1.-]
K00139	773.03	full	trim	0.805136	212	208	1565	482	0.96	0.591	succinate-semialdehyde dehydrogenase [EC:1.2.1.24]
K00140	460.60	full	all	0.990152	4026	3327	3968	502	1.68	0.590	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K00141	653.53	domain	all	0.949652	392	323	599	485	1.38	0.591	benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]
K00142	407.83	domain	all	0.959356	295	292	4251	977	3.44	0.590	acyl-CoA synthetase [EC:6.2.1.-]
K00143	660.40	domain	trim	0.963738	131	119	2500	1387	1.35	0.591	L-2-aminoadipate reductase [EC:1.2.1.95]
K00145	146.33	full	all	0.887906	4368	3610	1770	342	3.14	0.590	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]
K00146	666.70	domain	trim	0.606004	850	626	731	497	1.60	0.591	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]
K00147	510.60	domain	trim	0.947635	4282	3528	1492	418	2.32	0.590	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]
K00148	407.57	full	all	0.984997	687	536	720	386	1.02	0.589	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]
K00149	733.10	domain	all	0.928020	191	187	1583	521	1.00	0.591	aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3]
K00150	228.87	full	all	0.972067	468	424	696	348	4.34	0.590	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
K00151	707.80	domain	all	0.956789	762	532	673	492	1.09	0.590	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]
K00152	1091.27	full	all	1.000000	10	8	483	483	0.42	0.592	salicylaldehyde dehydrogenase [EC:1.2.1.65]
K00153	451.97	domain	all	0.988111	459	385	874	373	0.85	0.591	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]
K00154	568.77	domain	trim	0.952792	1044	852	855	472	1.68	0.589	coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K00155	992.50	domain	all	1.000000	16	16	1169	1031	0.96	0.591	L-tyrosine reductase [EC:1.2.1.101]
K00156	687.93	full	trim	0.953761	1724	1350	1340	580	1.78	0.590	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K00157	2066.50	full	all	0.897694	262	260	4159	1337	1.27	0.590	aldehyde oxidase [EC:1.2.3.1]
K00158	639.30	full	trim	0.941454	606	415	977	574	2.02	0.590	pyruvate oxidase [EC:1.2.3.3]
K00161	374.40	full	all	0.643694	4316	3430	3650	367	3.85	0.590	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
K00162	413.63	full	all	0.749933	4114	3265	2834	341	2.46	0.590	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K00163	120.47	domain	all	0.999778	2878	2257	2721	880	2.42	0.590	pyruvate dehydrogenase E1 component [EC:1.2.4.1]
K00164	1019.77	full	all	0.890167	4118	3335	6507	907	1.98	0.590	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]
K00166	394.13	full	all	0.904370	1598	1287	2037	423	2.39	0.590	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
K00167	436.77	full	trim	0.911947	1522	1153	1512	348	1.35	0.591	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]
K00169	290.23	full	all	0.925437	777	667	1264	398	2.83	0.590	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K00170	321.83	full	all	0.814592	723	591	718	303	2.23	0.590	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]
K00171	90.97	domain	all	0.798727	565	431	608	92	1.82	0.621	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]
K00172	123.43	full	trim	0.954240	720	595	841	186	3.44	0.590	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K00174	231.73	full	trim	0.940874	2131	1824	1488	555	3.52	0.590	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]
K00175	216.90	domain	trim	0.943086	2154	1764	1318	289	2.15	0.591	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]
K00176	65.30	domain	trim	0.965090	794	621	344	74	2.33	0.763	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]
K00177	176.53	domain	trim	0.894672	841	699	365	179	2.95	0.590	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]
K00179	404.43	full	all	0.991696	898	845	2247	585	2.92	0.590	indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]
K00180	122.10	full	all	0.985220	858	785	1098	200	3.59	0.590	indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]
K00181	186.97	full	all	0.995402	227	219	3259	463	2.05	0.589	O-palmitoleoyl transferase [EC:2.3.1.250]
K00182	452.20	domain	all	0.957871	309	273	1119	353	1.38	0.591	wingless-type MMTV integration site family, member 2
K00183	704.87	full	all	0.977778	28	24	1127	808	1.61	0.590	prokaryotic molybdopterin-containing oxidoreductase family, molybdopterin binding subunit
K00184	212.07	domain	all	0.954279	794	752	3535	607	3.42	0.590	prokaryotic molybdopterin-containing oxidoreductase family, iron-sulfur binding subunit
K00185	180.33	full	trim	0.978626	765	710	1358	417	4.81	0.590	prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit
K00186	482.07	full	trim	0.948810	53	51	446	366	1.11	0.590	2-oxoisovalerate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.7]
K00187	496.80	full	all	0.747104	117	107	590	474	1.45	0.591	2-oxoisovalerate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.7]
K00188	89.77	domain	all	0.933656	102	88	206	81	1.18	0.700	2-oxoisovalerate ferredoxin oxidoreductase, delta subunit [EC:1.2.7.7]
K00189	388.17	full	all	0.183327	5	5	186	185	0.43	0.595	2-oxoisovalerate ferredoxin oxidoreductase, gamma subunit [EC:1.2.7.7]
K00192	377.20	full	trim	0.966322	119	97	904	779	0.92	0.591	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]
K00193	592.23	full	all	0.864312	115	103	911	444	1.15	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]
K00194	155.17	full	all	0.990353	188	154	821	328	1.57	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]
K00195	104.90	full	all	1.000000	104	86	230	174	2.09	0.590	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	142.33	domain	trim	0.773045	319	265	363	159	1.29	0.590	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	184.20	full	all	1.000000	196	166	917	450	1.91	0.590	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]
K00198	179.63	full	all	1.000000	419	377	1533	628	1.85	0.590	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]
K00200	251.83	full	all	1.000000	289	272	917	555	1.76	0.590	formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]
K00201	173.47	full	all	0.998435	357	321	1008	429	4.06	0.590	formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]
K00202	104.00	domain	all	0.991995	333	313	810	263	3.17	0.590	formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]
K00203	123.87	domain	trim	0.950012	187	141	212	132	2.44	0.590	formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]
K00204	156.97	domain	all	0.985507	41	38	202	155	1.05	0.591	4Fe-4S ferredoxin
K00205	215.80	full	all	0.975800	174	149	770	351	1.56	0.590	4Fe-4S ferredoxin
K00206	662.83	full	all	1.000000	201	162	520	482	0.77	0.588	phosphonoacetaldehyde dehydrogenase [EC:1.2.1.-]
K00207	386.20	domain	all	0.958285	383	372	3004	1013	1.59	0.590	dihydropyrimidine dehydrogenase (NADP+) [EC:1.3.1.2]
K00208	233.87	full	all	0.972026	4106	2951	1137	259	2.25	0.590	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K00209	126.90	full	all	1.000000	910	726	855	399	1.52	0.590	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
K00210	224.20	domain	trim	0.451592	81	61	589	262	2.96	0.590	prephenate dehydrogenase [EC:1.3.1.12]
K00211	477.73	full	all	1.000000	130	128	955	436	0.86	0.589	prephenate dehydrogenase (NADP+) [EC:1.3.1.13]
K00212	704.93	full	all	0.770202	18	17	354	323	0.48	0.587	20alpha/3alpha-hydroxysteroid dehydrogenase / dihydrodiol dehydrogenase [EC:1.1.1.149 1.1.1.357 1.3.1.20]
K00213	413.30	full	all	0.936426	342	333	1424	436	2.21	0.590	7-dehydrocholesterol reductase [EC:1.3.1.21]
K00214	152.13	domain	all	0.997455	210	199	602	301	2.16	0.590	biliverdin reductase [EC:1.3.1.24]
K00215	120.70	full	all	0.989503	5120	3992	1801	253	4.45	0.590	4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
K00216	230.43	domain	all	0.991786	803	549	738	254	1.35	0.590	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase [EC:1.3.1.28]
K00217	322.27	full	all	0.936301	39	31	441	353	1.34	0.589	maleylacetate reductase [EC:1.3.1.32]
K00218	268.10	domain	trim	0.913381	444	420	1174	330	3.19	0.590	protochlorophyllide reductase [EC:1.3.1.33]
K00219	549.70	full	all	0.983741	1649	1344	2482	669	2.61	0.590	2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K00220	369.70	full	trim	0.934651	518	392	554	303	1.24	0.590	cyclohexadieny/prephenate dehydrogenase [EC:1.3.1.43 1.3.1.12]
